date,dcoilwtico,DCOILWTICO_20240313
2013-01-01,.,.
2013-01-02,93.14,93.14
2013-01-03,92.97,92.97
2013-01-04,93.12,93.12
2013-01-07,93.20,93.20
2013-01-08,93.21,93.21
2013-01-09,93.08,93.08
2013-01-10,93.81,93.81
2013-01-11,93.60,93.60
2013-01-14,94.27,94.27
2013-01-15,93.26,93.26
2013-01-16,94.28,94.28
2013-01-17,95.49,95.49
2013-01-18,95.61,95.61
2013-01-21,.,.
2013-01-22,96.09,96.09
2013-01-23,95.06,95.06
2013-01-24,95.35,95.35
2013-01-25,95.15,95.15
2013-01-28,95.95,95.95
2013-01-29,97.62,97.62
2013-01-30,97.98,97.98
2013-01-31,97.65,97.65
2013-02-01,97.46,97.46
2013-02-04,96.21,96.21
2013-02-05,96.68,96.68
2013-02-06,96.44,96.44
2013-02-07,95.84,95.84
2013-02-08,95.71,95.71
2013-02-11,97.01,97.01
2013-02-12,97.48,97.48
2013-02-13,97.03,97.03
2013-02-14,97.30,97.30
2013-02-15,95.95,95.95
2013-02-18,.,.
2013-02-19,96.69,96.69
2013-02-20,94.92,94.92
2013-02-21,92.79,92.79
2013-02-22,93.12,93.12
2013-02-25,92.74,92.74
2013-02-26,92.63,92.63
2013-02-27,92.84,92.84
2013-02-28,92.03,92.03
2013-03-01,90.71,90.71
2013-03-04,90.13,90.13
2013-03-05,90.88,90.88
2013-03-06,90.47,90.47
2013-03-07,91.53,91.53
2013-03-08,92.01,92.01
2013-03-11,92.07,92.07
2013-03-12,92.44,92.44
2013-03-13,92.47,92.47
2013-03-14,93.03,93.03
2013-03-15,93.49,93.49
2013-03-18,93.71,93.71
2013-03-19,92.44,92.44
2013-03-20,93.21,93.21
2013-03-21,92.46,92.46
2013-03-22,93.41,93.41
2013-03-25,94.55,94.55
2013-03-26,95.99,95.99
2013-03-27,96.53,96.53
2013-03-28,97.24,97.24
2013-03-29,.,.
2013-04-01,97.10,97.10
2013-04-02,97.23,97.23
2013-04-03,95.02,95.02
2013-04-04,93.26,93.26
2013-04-05,92.76,92.76
2013-04-08,93.36,93.36
2013-04-09,94.18,94.18
2013-04-10,94.59,94.59
2013-04-11,93.44,93.44
2013-04-12,91.23,91.23
2013-04-15,88.75,88.75
2013-04-16,88.73,88.73
2013-04-17,86.65,86.65
2013-04-18,87.83,87.83
2013-04-19,88.04,88.04
2013-04-22,88.81,88.81
2013-04-23,89.21,89.21
