date;type;description;transferred
1/jan;zondag;New Year's Day;Restricted Holiday
5/jan;donderdag;Guru Govind Singh Jayanti;Observance
14/jan;zaterdag;Pongal;Restricted Holiday
15/jan;zondag;Makar Sankranti;Restricted Holiday
23/jan;maandag;Chinese New Year;Observance
26/jan;donderdag;Republic Day;Gazetted Holiday
28/jan;zaterdag;Vasant Panchami;Restricted Holiday
;;;
5/feb;zondag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
7/feb;dinsdag;Guru Ravidas Jayanti;Restricted Holiday
14/feb;dinsdag;Valentine's Day;Observance
16/feb;donderdag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
19/feb;zondag;Shivaji Jayanti;Restricted Holiday
20/feb;maandag;Maha Shivaratri/Shivaratri;Gazetted Holiday
;;;
7 mrt;woensdag;Holika Dahana;Restricted Holiday
8 mrt;donderdag;Holi;Gazetted Holiday
8 mrt;donderdag;Holi;Restricted Holiday
20 mrt;dinsdag;March Equinox;Season
23 mrt;vrijdag;Chaitra Sukhladi;Restricted Holiday
;;;
1/apr;zondag;Rama Navami;Gazetted Holiday
5/apr;donderdag;Maundy Thursday;Observance, Christian
5/apr;donderdag;Mahavir Jayanti;Gazetted Holiday
6/apr;vrijdag;Good Friday;Gazetted Holiday
7/apr;zaterdag;First day of Passover;Observance
8/apr;zondag;Easter Day;Restricted Holiday
13/apr;vrijdag;Vaisakhi;Restricted Holiday
14/apr;zaterdag;Mesadi/Vaisakhadi;Restricted Holiday
14/apr;zaterdag;Ambedkar Jayanti;Observance
;;;
1/mei;dinsdag;May Day;Observance
6/mei;zondag;Buddha Purnima/Vesak;Gazetted Holiday
8/mei;dinsdag;Birthday of Ravindranath;Restricted Holiday
13/mei;zondag;Mother's Day;Observance
;;;
4/jun;maandag;Hazarat Ali's Birthday;Restricted Holiday
17/jun;zondag;Father's Day;Observance
21/jun;donderdag;June Solstice;Season
21/jun;donderdag;Rath Yatra;Restricted Holiday
;;;
;;;
2/aug;donderdag;Raksha Bandhan (Rakhi);Restricted Holiday
5/aug;zondag;Friendship Day;Observance
10/aug;vrijdag;Janmashtami;Gazetted Holiday
15/aug;woensdag;Independence Day;Gazetted Holiday
17/aug;vrijdag;Jamat Ul-Vida;Restricted Holiday
18/aug;zaterdag;Parsi New Year;Restricted Holiday
20/aug;maandag;Ramzan Id/Eid-ul-Fitar;Gazetted Holiday
29/aug;woensdag;Onam;Restricted Holiday
;;;
19/sep;woensdag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
22/sep;zaterdag;September Equinox;Season
;;;
2/okt;dinsdag;Mahatma Gandhi Jayanti;Gazetted Holiday
21/okt;zondag;Maha Saptami;Restricted Holiday
22/okt;maandag;Maha Ashtami;Restricted Holiday
24/okt;woensdag;Dussehra;Gazetted Holiday
27/okt;zaterdag;Bakr Id/Eid ul-Adha;Gazetted Holiday
29/okt;maandag;Maharishi Valmiki Jayanti;Restricted Holiday
31/okt;woensdag;Halloween;Observance
;;;
2/nov;vrijdag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
12/nov;maandag;Naraka Chaturdasi;Restricted Holiday
13/nov;dinsdag;Diwali/Deepavali;Gazetted Holiday
14/nov;woensdag;Govardhan Puja;Restricted Holiday
15/nov;donderdag;Bhai Duj;Restricted Holiday
19/nov;maandag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
24/nov;zaterdag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
25/nov;zondag;Muharram/Ashura;Gazetted Holiday
28/nov;woensdag;Guru Nanak Jayanti;Gazetted Holiday
;;;
9/dec;zondag;First Day of Hanukkah;Observance
16/dec;zondag;Last day of Hanukkah;Observance
21/dec;vrijdag;December Solstice;Season
24/dec;maandag;Christmas Eve;Restricted Holiday
25/dec;dinsdag;Christmas;Gazetted Holiday
31/dec;maandag;New Year's Eve;Observance
1/jan;dinsdag;New Year's Day;Restricted Holiday
13/jan;zondag;Makar Sankranti;Restricted Holiday
14/jan;maandag;Pongal;Restricted Holiday
18/jan;vrijdag;Guru Govind Singh Jayanti;Restricted Holiday
25/jan;vrijdag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
26/jan;zaterdag;Republic Day;Gazetted Holiday
;;;
10/feb;zondag;Chinese New Year;Observance
14/feb;donderdag;Valentine's Day;Observance
15/feb;vrijdag;Vasant Panchami;Restricted Holiday
19/feb;dinsdag;Shivaji Jayanti;Restricted Holiday
23/feb;zaterdag;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
25/feb;maandag;Guru Ravidas Jayanti;Restricted Holiday
;;;
10 mrt;zondag;Maha Shivaratri/Shivaratri;Gazetted Holiday
20 mrt;woensdag;March Equinox;Season
26 mrt;dinsdag;First day of Passover;Observance
26 mrt;dinsdag;Holika Dahana;Restricted Holiday
27 mrt;woensdag;Holi;Gazetted Holiday
27 mrt;woensdag;Holi;Restricted Holiday
28 mrt;donderdag;Maundy Thursday;Observance, Christian
29 mrt;vrijdag;Good Friday;Gazetted Holiday
31 mrt;zondag;Easter Day;Restricted Holiday
;;;
11/apr;donderdag;Chaitra Sukhladi;Restricted Holiday
13/apr;zaterdag;Vaisakhi;Restricted Holiday
14/apr;zondag;Mesadi/Vaisakhadi;Restricted Holiday
14/apr;zondag;Ambedkar Jayanti;Observance
19/apr;vrijdag;Rama Navami;Gazetted Holiday
24/apr;woensdag;Mahavir Jayanti;Gazetted Holiday
;;;
1/mei;woensdag;May Day;Observance
8/mei;woensdag;Birthday of Ravindranath;Restricted Holiday
12/mei;zondag;Mother's Day;Observance
24/mei;vrijdag;Hazarat Ali's Birthday;Restricted Holiday
25/mei;zaterdag;Buddha Purnima/Vesak;Gazetted Holiday
;;;
16/jun;zondag;Father's Day;Observance
21/jun;vrijdag;June Solstice;Season
;;;
10/jul;woensdag;Rath Yatra;Restricted Holiday
;;;
2/aug;vrijdag;Jamat Ul-Vida;Restricted Holiday
4/aug;zondag;Friendship Day;Observance
9/aug;vrijdag;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
15/aug;donderdag;Independence Day;Gazetted Holiday
18/aug;zondag;Parsi New Year;Restricted Holiday
20/aug;dinsdag;Raksha Bandhan (Rakhi);Restricted Holiday
28/aug;woensdag;Janmashtami;Gazetted Holiday
;;;
9/sep;maandag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
16/sep;maandag;Onam;Restricted Holiday
23/sep;maandag;September Equinox;Season
;;;
