store_nbr;Store name;city;state;type;cluster
1;BB - FC-GUWAHATI-BHANAGAGHAR-CITY SQUARE  G.S ROAD;GUWAHATI;Assam;D;13
2;BB-JOHRAT-MOUZA- NAGARMHAL-PMS / B&A COMPLEX ;JOHRAT;#N/A;D;13
3;BB-SILCHAR-PARGANA-BARAKPUR-GOLDOGH COMMERCIAL COMPLEX;SILCHAR;#N/A;D;8
4;FBB-GUWAHATI-PALTAN BAZAR-G.S.ROAD;GUWAHATI;Assam;D;9
5;BB - FC-PATNA-PATALIPUTRA COLONY-P&M MALL;PATNA;Bihar;D;4
6;BB-PATNA- EXHIBITION ROAD-P MALL;PATNA;Bihar;D;13
7;FBB-BHAGALPUR-DN SINGHROAD-JIWANSAGAR TOWER;BHAGALPUR;Bihar;D;8
8;BB-PATNA-BAILEY ROAD-KASHYAP BUSINESS PARK;PATNA;Bihar;D;8
9;BB-RAIPUR-DEVENDRA NAGAR-OPP-EPF BUILDING;RAIPUR;Chhattisgarh;B;6
10;BB-BILASPUR-24 MAGARPARA LINK ROAD-RAO TRADE CENTER;BILASPUR;Chhattisgarh;C;15
11;BB-BHILAI-NEHRU NAGAR-SURYA TREASURE ISLAND MALL;BHILAI;Chhattisgarh;B;6
12;FBB-RAIPUR-BIDHANSABHA ROAD-AMBUJA MALL CITY ;RAIPUR;Chhattisgarh;C;15
13;BB-DHANBAD- SARAIDHELA-SRI RAM CITY MALL;DHANBAD;Jharkhand;C;15
14;BB - FC-RANCHI-MAIN ROAD OPP RANCHI CLUB-JC TOWER;RANCHI;Jharkhand;C;7
15;BB-JAMSHEDPUR-NEAR DIMNA CHOWK;JAMSHEDPUR;Jharkhand;C;15
16;BB-DEOGHAR-SUBHASH ROAD;DEOGHAR;Jharkhand;C;3
17;BB-NAGPUR- RAMDAS PETH-LANDMARK BLDG ;NAGPUR;Maharashtra;C;12
18;BB - FC-NAGPUR- VARDHMAN NAGAR- POONAM MALL;NAGPUR;Maharashtra;B;16
19;BB-NAGPUR-RAILWAY STATION ROAD- EMPRESS MALL;NAGPUR;Maharashtra;C;15
20;FBB-NAGPUR- SITABULDI-ETERNITY MALL;NAGPUR;Maharashtra;B;6
21;BB-JHARSUGDA- SARBAHAL ROAD-SHANTI CITY CENTRE;JHARSUGDA;#N/A;B;6
22;BB-BHUBHANESHWAR- KHARVEL NAGAR-FORUM MART ;BHUBHANESWAR;#N/A;C;7
23;BB-BHUBHANESHWAR- PATIA- MARUTI MALL;BHUBHANESWAR;0;D;9
24;BB-CUTTACK- OLD JAIL ROAD-NETAJI SUBHAS CHANDRA BOSE SHOPPING ARCADE;CUTTACK;Odisha;D;1
25;BB-SAMBALPUR- KHETRAJPUR-CITY CENTRE;SAMBALPUR;Odisha;D;1
26;BB-GANGTOK-NAMNAG ROAD-NAMNAG COMMERICAL COMPLEX;GANGTOK;Sikkim;D;10
27;BB-AGARTALA- MANTRI BARI ROAD-M.L.PLAZA;AGARTALA;Tripura;D;1
28;BB-KOLKATA- RAGHUNATHPUR- VIP ROAD;KOLKATA;West Bengal;E;10
29;BB-KOLKATA-HILAND PARK-THE METROPOLIS;KOLKATA;West Bengal;E;10
30;BB-KOLKATA-RAJA .S.C. MULLICK ROAD-ORBIT MALL;KOLKATA;West Bengal;C;3
31;BB-KOLKATA-J.L.NEHRU ROAD-LIC-ESPALANDE ;KOLKATA;West Bengal;B;10
32;BB - FC-KOLKATA-BELEGHATA AIN ROAD-SEALDAH COMMERCIAL COMPLEX;KOLKATA;West Bengal;C;3
33;BB-KOLKATA-SALT LAKE CITY;KOLKATA;West Bengal;C;3
34;BB-KOLKATA-BIRATI;KOLKATA;West Bengal;B;6
35;BB-BARASAT-JESSORE ROAD-SUNCITY MALL;BARASAT;West Bengal;C;3
36;BB-HOWRAH- LILUAH-R.D MALL ;HOWRAH;West Bengal;E;10
37;BB-ASANSOL-BURNBPUR ROAD-GALAXY MALL;ASANSOL;West Bengal;D;2
38;BB-HOWRAH-JAGAT BANERJEE GHAT ROAD-AVANI RIVER SIDE MALL;HOWRAH;West Bengal;D;4
39;BB-DARJEELING- LADEN LA ROAD-RINK MALL ;DARJEELING;#N/A;B;6
40;BB-SILIGURI- SEVOKE ROAD-COSMOS MALL;SILIGURI;West Bengal;C;3
41;FBB-SILIGURI-CITY CENTER SILIGURI MALL;SILIGURI;West Bengal;D;4
42;BB-DURGAPUR-   DURGAPUR-DREAMPLEX COMPLEX;DURGAPUR;West Bengal;D;2
43;BB-BURDWAN- JAIL KHANA MORE-BURDWAN ARCADE;BURDWAN;0;E;10
44;FBB-KOLKATA- MANIKTALA MAIN ROAD- MANISQUARE MALL;KOLKATA;West Bengal;A;5
45;BB-KHARAGPUR- KHARAGPUR-PUJA MALL;KHARAGPUR;West Bengal;A;11
46;BB-KOLKATA-JESSORE ROAD- DIAMOND CITY NORTH MALL;KOLKATA;West Bengal;A;14
47;BB-KOLKATA- PARGANAS-WOOD SQUARE MALL;KOLKATA;West Bengal;A;14
48;BB-KOLKATA-RAJARHAT-BLOCK BY BLOCK SHOPPING MALL;KOLKATA;West Bengal;A;14
49;BB-KOLKATA-RASHBEHARI AVENUE-LAKEMALL;KOLKATA;West Bengal;A;11
50;FBB-KOLKATA- HOWRAH MAIDAN;KOLKATA;West Bengal;A;14
51;BB-KOLKATA-SREEBHUMI- ALCOVE GLORIA;KOLKATA;West Bengal;A;17
