date,type,description,transferred
2012-jan-1,zondag,New Year's Day,Restricted Holiday
2012-jan-5,donderdag,Guru Govind Singh Jayanti,Observance
2012-jan-14,zaterdag,Pongal,Restricted Holiday
2012-jan-15,zondag,Makar Sankranti,Restricted Holiday
2012-jan-23,maandag,Chinese New Year,Observance
2012-jan-26,donderdag,Republic Day,Gazetted Holiday
2012-jan-28,zaterdag,Vasant Panchami,Restricted Holiday
2012-feb-5,zondag,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2012-feb-7,dinsdag,Guru Ravidas Jayanti,Restricted Holiday
2012-feb-14,dinsdag,Valentine's Day,Observance
2012-feb-16,donderdag,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2012-feb-19,zondag,Shivaji Jayanti,Restricted Holiday
2012-feb-20,maandag,Maha Shivaratri/Shivaratri,Gazetted Holiday
2012-mrt-7,woensdag,Holika Dahana,Restricted Holiday
2012-mrt-8,donderdag,Holi,Restricted Holiday
2012-mrt-20,dinsdag,March Equinox,Season
2012-mrt-23,vrijdag,Chaitra Sukhladi,Restricted Holiday
2012-apr-1,zondag,Rama Navami,Gazetted Holiday
2012-apr-5,donderdag,Maundy Thursday,"Observance, Christian"
2012-apr-5,donderdag,Mahavir Jayanti,Gazetted Holiday
2012-apr-6,vrijdag,Good Friday,Gazetted Holiday
2012-apr-7,zaterdag,First day of Passover,Observance
2012-apr-8,zondag,Easter Day,Restricted Holiday
2012-apr-13,vrijdag,Vaisakhi,Restricted Holiday
2012-apr-14,zaterdag,Mesadi/Vaisakhadi,Restricted Holiday
2012-apr-14,zaterdag,Ambedkar Jayanti,Observance
2012-mei-1,dinsdag,May Day,Observance
2012-mei-6,zondag,Buddha Purnima/Vesak,Gazetted Holiday
2012-mei-8,dinsdag,Birthday of Ravindranath,Restricted Holiday
2012-mei-13,zondag,Mother's Day,Observance
2012-jun-4,maandag,Hazarat Ali's Birthday,Restricted Holiday
2012-jun-17,zondag,Father's Day,Observance
2012-jun-21,donderdag,June Solstice,Season
2012-jun-21,donderdag,Rath Yatra,Restricted Holiday
2012-aug-2,donderdag,Raksha Bandhan (Rakhi),Restricted Holiday
2012-aug-5,zondag,Friendship Day,Observance
2012-aug-10,vrijdag,Janmashtami,Gazetted Holiday
2012-aug-15,woensdag,Independence Day,Gazetted Holiday
2012-aug-17,vrijdag,Jamat Ul-Vida,Restricted Holiday
2012-aug-18,zaterdag,Parsi New Year,Restricted Holiday
2012-aug-20,maandag,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2012-aug-29,woensdag,Onam,Restricted Holiday
2012-sep-19,woensdag,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2012-sep-22,zaterdag,September Equinox,Season
