item_nbr,item_nbr_numeric,class,family,perishable,Price
121964,121964,6810,AUTOMOTIVE,0,38.60401189
172995,172995,6824,AUTOMOTIVE,0,56.2261732
270522,270522,6806,AUTOMOTIVE,0,69.52906018
312317,312317,6810,AUTOMOTIVE,0,95.41168061
461432,461432,6810,AUTOMOTIVE,0,79.51285176
511394,511394,6810,AUTOMOTIVE,0,50.48994749
1009512,1009512,6810,AUTOMOTIVE,0,30.94320131
1049595,1049595,6824,AUTOMOTIVE,0,16.85399681
1085148,1085148,6806,AUTOMOTIVE,0,35.04621488
1085150,1085150,6806,AUTOMOTIVE,0,61.60237574
1085486,1085486,6810,AUTOMOTIVE,0,43.93770658
1118683,1118683,6806,AUTOMOTIVE,0,39.14991327
1147731,1147731,6806,AUTOMOTIVE,0,54.47136026
1903428,1903428,6808,AUTOMOTIVE,0,81.80139185
1903432,1903432,6808,AUTOMOTIVE,0,81.01979036
1969477,1969477,6848,AUTOMOTIVE,0,63.86612883
1969485,1969485,6848,AUTOMOTIVE,0,73.1810639
1969863,1969863,6848,AUTOMOTIVE,0,75.89595534
1969899,1969899,6848,AUTOMOTIVE,0,17.81374236
1970094,1970094,6848,AUTOMOTIVE,0,91.27677613
1490588,1490588,6022,BABY CARE,0,11.22845939
617763,617763,4222,BEAUTY,0,9.363190525
673496,673496,4214,BEAUTY,0,17.62552262
716958,716958,4254,BEAUTY,0,5.081038709
958514,958514,4252,BEAUTY,0,16.33223912
1158705,1158705,4252,BEAUTY,0,3.024401331
1253708,1253708,4250,BEAUTY,0,2.220973997
1449487,1449487,4254,BEAUTY,0,18.40991277
1471956,1471956,4252,BEAUTY,0,5.403786514
1911336,1911336,4210,BEAUTY,0,5.909246667
1935388,1935388,4255,BEAUTY,0,15.21377567
1935465,1935465,4212,BEAUTY,0,7.500987239
1965358,1965358,4228,BEAUTY,0,19.44086971
2089789,2089789,4254,BEAUTY,0,11.60978984
2090125,2090125,4214,BEAUTY,0,8.802578505
2091318,2091318,4252,BEAUTY,0,18.17116314
2099230,2099230,4252,BEAUTY,0,4.017291444
2101795,2101795,4222,BEAUTY,0,17.97794648
2103250,2103250,4254,BEAUTY,0,13.97304686
2105347,2105347,4254,BEAUTY,0,14.02930125
119624,119624,1122,BEVERAGES,0,3.967587743
165550,165550,1124,BEVERAGES,0,3.510351946
165551,165551,1124,BEVERAGES,0,9.893142598
165553,165553,1124,BEVERAGES,0,1.369118253
174081,174081,1136,BEVERAGES,0,2.977587925
219147,219147,1122,BEVERAGES,0,10.51212238
219150,219150,1122,BEVERAGES,0,9.990155416
219152,219152,1122,BEVERAGES,0,4.73324262
257847,257847,1120,BEVERAGES,0,2.032130397
257848,257848,1120,BEVERAGES,0,7.753349076
265086,265086,1124,BEVERAGES,0,1.328010206
269029,269029,1122,BEVERAGES,0,4.835072505
269036,269036,1122,BEVERAGES,0,2.142029813
308085,308085,1124,BEVERAGES,0,4.889224196
315176,315176,1124,BEVERAGES,0,9.829525681
315178,315178,1124,BEVERAGES,0,9.182586022
315179,315179,1124,BEVERAGES,0,8.055945691
315180,315180,1124,BEVERAGES,0,9.961750989
319272,319272,1122,BEVERAGES,0,3.819267265
364738,364738,1124,BEVERAGES,0,10.98360233
368624,368624,1122,BEVERAGES,0,8.376760257
368628,368628,1122,BEVERAGES,0,5.437844705
414305,414305,1124,BEVERAGES,0,10.60425803
418235,418235,1122,BEVERAGES,0,6.182596626
418238,418238,1122,BEVERAGES,0,4.161709935
464374,464374,1124,BEVERAGES,0,1.002261744
468265,468265,1122,BEVERAGES,0,2.645364062
514172,514172,1124,BEVERAGES,0,4.690546186
518091,518091,1122,BEVERAGES,0,8.731841007
518094,518094,1122,BEVERAGES,0,1.185818979
556698,556698,1120,BEVERAGES,0,5.880968613
563966,563966,1124,BEVERAGES,0,9.304422377
568133,568133,1122,BEVERAGES,0,5.089076249
671039,671039,1122,BEVERAGES,0,3.379032556
679442,679442,1120,BEVERAGES,0,10.05216884
686034,686034,1122,BEVERAGES,0,9.180293599
686035,686035,1122,BEVERAGES,0,6.196243593
716250,716250,1120,BEVERAGES,0,1.682003617
730258,730258,1122,BEVERAGES,0,10.4465875
730259,730259,1122,BEVERAGES,0,1.106180715
759697,759697,1124,BEVERAGES,0,8.438621153
759698,759698,1124,BEVERAGES,0,9.066637023
770463,770463,1120,BEVERAGES,0,4.626155306
804932,804932,1122,BEVERAGES,0,5.088913851
805310,805310,1122,BEVERAGES,0,4.116144001
805311,805311,1122,BEVERAGES,0,4.877245555
807493,807493,1124,BEVERAGES,0,7.67264462
