date;unit;price;change
jan/13;5;708.32;3.29%
feb/13;5;784.94;1.34%
Mar 2013;5;575.84;-3.61%
apr/13;5;375.04;-3.60%
May 2013;5;468.66;1.74%
jun/13;5;817.69;6.38%
jul/13;6;292.38;8.16%
aug/13;6;836.67;8.65%
sep/13;6;926.83;1.32%
Oct 2013;6;497.77;-6.19%
nov/13;6;435.78;-0.95%
dec/13;6;534.28;1.53%
jan/14;6;344.00;-2.91%
feb/14;6;529.28;2.92%
Mar 2014;6;343.00;-2.85%
apr/14;6;329.60;-0.21%
May 2014;6;273.13;-0.89%
jun/14;6;471.05;3.16%
jul/14;6;320.51;-2.33%
aug/14;6;092.56;-3.61%
sep/14;5;835.69;-4.22%
Oct 2014;5;280.84;-9.51%
nov/14;4;748.53;-10.08%
dec/14;3;806.55;-19.84%
jan/15;2;927.20;-23.10%
feb/15;3;398.51;16.10%
Mar 2015;3;299.23;-2.92%
apr/15;3;611.03;9.45%
May 2015;3;988.78;10.46%
jun/15;3;915.30;-1.84%
jul/15;3;458.51;-11.67%
aug/15;2;973.16;-14.03%
sep/15;3;064.43;3.07%
Oct 2015;3;055.95;-0.28%
nov/15;2;847.43;-6.82%
dec/15;2;435.40;-14.47%
jan/16;2;004.00;-17.71%
feb/16;2;117.58;5.67%
Mar 2016;2;503.95;18.25%
apr/16;2;708.63;8.17%
May 2016;3;072.75;13.44%
jun/16;3;208.66;4.42%
jul/16;2;966.28;-7.55%
aug/16;3;004.16;1.28%
sep/16;3;006.05;0.06%
Oct 2016;3;290.46;9.46%
nov/16;3;056.29;-7.12%
dec/16;3;572.84;16.90%
jan/17;3;649.89;2.16%
feb/17;3;647.03;-0.08%
Mar 2017;3;355.09;-8.00%
apr/17;3;365.04;0.30%
May 2017;3;213.83;-4.49%
jun/17;2;975.01;-7.43%
jul/17;3;071.23;3.23%
aug/17;3;194.46;4.01%
sep/17;3;413.19;6.85%
Oct 2017;3;574.53;4.73%
nov/17;3;887.81;8.76%
dec/17;3;930.99;1.11%
