store_nbr,store_name,city,state,type,cluster
1,Smart Bazaar,Guwahati,Assam,D,13
2,Smart Bazaar,Johrat,Assam,D,13
3,Smart Bazaar,Silchar,Assam,D,8
4,Fashion Bazaar,Guwahati,Assam,D,9
5,Smart Bazaar,Patna,Bihar,D,4
6,Smart Bazaar,Patna,Bihar,D,13
7,Fashion Bazaar,Bhagalpur,Bihar,D,8
8,Smart Bazaar,Patna,Bihar,D,8
9,Smart Bazaar,Raipur,Chhattisgarh,B,6
10,Smart Bazaar,Bilaspur,Chhattisgarh,C,15
11,Smart Bazaar,Bhilai,Chhattisgarh,B,6
12,Fashion Bazaar,Raipur,Chhattisgarh,C,15
13,Smart Bazaar,Dhanbad,Jharkhand,C,15
14,Smart Bazaar,Ranchi,Jharkhand,C,7
15,Smart Bazaar,Jamshedpur,Jharkhand,C,15
16,Smart Bazaar,Deoghar,Jharkhand,C,3
17,Smart Bazaar,Nagpur,Maharashtra,C,12
18,Smart Bazaar,Nagpur,Maharashtra,B,16
19,Smart Bazaar,Nagpur,Maharashtra,C,15
20,Fashion Bazaar,Nagpur,Maharashtra,B,6
21,Smart Bazaar,Jharsugda,Odisha,B,6
22,Smart Bazaar,Bhubaneshwar,Odisha,C,7
23,Smart Bazaar,Bhubaneshwar,Odisha,D,9
24,Smart Bazaar,Cuttack,Odisha,D,1
25,Smart Bazaar,Sambalpur,Odisha,D,1
26,Smart Bazaar,Gangtok,Sikkim,D,10
27,Smart Bazaar,Agartala,Tripura,D,1
28,Smart Bazaar,Kolkata,West Bengal,E,10
29,Smart Bazaar,Kolkata,West Bengal,E,10
30,Smart Bazaar,Kolkata,West Bengal,C,3
31,Smart Bazaar,Kolkata,West Bengal,B,10
32,Smart Bazaar,Kolkata,West Bengal,C,3
33,Smart Bazaar,Kolkata,West Bengal,C,3
34,Smart Bazaar,Kolkata,West Bengal,B,6
35,Smart Bazaar,Barasat,West Bengal,C,3
36,Smart Bazaar,Howrah,West Bengal,E,10
37,Smart Bazaar,Asansol,West Bengal,D,2
38,Smart Bazaar,Howrah,West Bengal,D,4
39,Smart Bazaar,Darjeeling,West Bengal,B,6
40,Smart Bazaar,Siliguri,West Bengal,C,3
41,Fashion Bazaar,Siliguri,West Bengal,D,4
42,Smart Bazaar,Durgapur,West Bengal,D,2
43,Smart Bazaar,Burdwan,West Bengal,E,10
44,Fashion Bazaar,Kolkata,West Bengal,A,5
45,Smart Bazaar,Kharagpur,West Bengal,A,11
46,Smart Bazaar,Kolkata,West Bengal,A,14
47,Smart Bazaar,Kolkata,West Bengal,A,14
48,Smart Bazaar,Kolkata,West Bengal,A,14
49,Smart Bazaar,Kolkata,West Bengal,A,11
50,Fashion Bazaar,Kolkata,West Bengal,A,14
51,Smart Bazaar,Kolkata,West Bengal,A,17
52,Smart Bazaar,Kolkata,West Bengal,A,11
53,Smart Bazaar,Haldia,West Bengal,D,13
54,Smart Bazaar,Bokaro,Jharkhand,C,3
